Index,Project Title,Status,Executing Entity,Duration,"Locations:
To navigate, press the arrow keys.",Approval Date,Start Date,Country/Region,Implementing Entity,Project ID,Transferred Amount,Grant Amount,Sector,Project Description,Completion Date,Locations:
113,"Adapting to Climate Change in Lake Victoria Basin (Burundi, Kenya, Rwanda, Tanzania, Uganda)",Project Under Implementation,Lake Victoria Basin Commission (LVBC),3 years,,07/05/2017,06/27/2018,Regional/Other,UN Environment Programme,AFR/MIE/Water/2015/1,"USD 5,000,000","USD 5,000,000",Transboundary Water Management,"Lake Victoria Basin extends into five countries, namely Kenya, Tanzania, Uganda, Burundi, and Rwanda. In the Lake Victoria Basin (LVB), climate change is inadequately integrated into regional transboundary water catchment management which is increasing the vulnerability of LVB communities. This problem is expected to intensify under the conditions of future climate change, specifically increasing variability in rainfall patterns and increasing mean annual temperatures. The overall objective of this regional project is to reduce vulnerability to the negative effects of climate change in the five Lake Victoria Basin countries by building climate resilience. To achieve this objective, there are five project outcomes:   ",,
114,"Building adaptive capacity through food and nutrition security and peacebuilding actions in vulnerable Afro and indigenous communities in the Colombia-Ecuador border area (Colombia, Ecuador)",Project Under Implementation,"Corponariño, Gran Familia del Pueblo Awá Binaciona",5 years,,07/05/2017,05/03/2018,Regional/Other,UN World Food Programme,LAC/MIE/Food/2015/1,"USD 11,644,031","USD 14,000,000",Food Security,"The border area between Colombia and Ecuador is one of the most climate sensitive and food-insecure regions in Latin America. The region’s climate is heavily influenced by effects from the Inter-Tropical Convergence zone (ITCZ) and by other meteorological and geographic conditions related to solar radiation and wind and precipitation systems as well as recurrent climate change effects from La Niña and El Niño. These factors influence not only macro- and micro-climates, but also a range of ecosystems within the region, including the coastal mangroves and inland dry and humid forest systems which are prioritized for this project. The project area encompasses more than 915,000 hectares in two binational watersheds – the Guaitara-Carchi and the Mira-Mataje. The Guaitara-Carchi watershed is key to the project owing its importance as an upland area and major tributary to the Mira-Mataje watershed where targeted communities are located. These watersheds pass through Nariño department in Colombia, and Carchi and Esmeraldas provinces in Ecuador. Approximately 54 percent of the combined watersheds area is in Colombia and 46 percent in Ecuador. This regional project aims to strengthen food security and nutrition through climate change adaptation measures in two watershed on the Colombia-Ecuador border area in accordance with the binational working groups’, and Awa and Afro community´s priorities. Project actions will contribute to reversing the marginalization that Afro and Awá communities have faced from the social and environmental damage from the conflict and contribute to peace and reconciliation through adaptation to climate change. The project aims to achieve the following high-level objectives:     ",,
115,"Agricultural Climate Resilience Enhancement Initiative (ACREI) (Ethiopia, Kenya, Uganda)",Project Under Implementation,FAO and IGAD,3 years,,03/17/2017,08/30/2018,Regional/Other,World Meteorological Organization,AFR/MIE/Food/2015/2,"USD 6,800,000","USD 6,800,000",Food Security,"The Greater Horn of Africa (GHA) region is highly vulnerable and regularly gets exposed to natural disasters, notably drought. Due to climate change, the frequency and severity of these natural disasters are expected to increase. These natural disasters severely impact on food production given that most of the agricultural production in the region is rain-fed. Persistent and deteriorating food and nutrition insecurity remain a major concern particularly in arid and semiarid lands which are hotspots for the highest crisis and emergence food insecurity levels. Apart from conflicts and insecurity, prolonged dry spells and droughts have been the main drivers of food insecurity in these areas. With the ever rising population growth in the GHA region, concerted efforts are needed to stabilise and more importantly increase food production. The goal of this initiative is to develop and implement adaptation strategies and measures that will strengthen the resilience of vulnerable smallholder farmers, agro-pastoralists and pastoralists in the Horn of Africa to climate variability and change. The overall objective is improved adaptive capacity and resilience to current climate variability and change among targeted farmers, agro-pastoralists and pastoralist communities. The target project sites are Golaoda and Mieso in East and West Haraghe in Ethiopia, Taita Taveta County in Kenya, and Sembabule and Isingiro Districts in Uganda.   ",,
116,Reducing Vulnerability to Climate Change in North West Rwanda through Community Based Adaptation,Project Completed,Rwanda Natural Resources Authority (RNRA),4 years,,11/01/2013,06/02/2014,Rwanda/Africa,"Ministry of Environment, Rwanda",RWA/NIE/Rural/2013/1,"USD 9,969,619","USD 9,969,619",Rural development,"Rwanda’s high population density combined with its reliance on rain-fed agriculture means that the predominantly rural population is increasingly farming smaller and smaller plots of land. The large number of people farming on Rwanda’s hilly and mountainous terrain has led to serious environmental degradation due to overexploitation of the soil and extensive erosion. The farmed Northern and Western uplands of Rwanda are considered the most vulnerable to erosion due to their steeper terrain and higher annual rainfall. In addition to these unsustainable farming practices, there has been significant unplanned settlement in fragile and sensitive areas. Recent changes in the variability of rainfall have had a dramatic effect on these already highly perturbed ecosystems particularly in the mountainous North West part of the country which has experienced floods and landslides. Objectives: The objective of the project is to increase the adaptive capacity of natural systems and rural communities living in exposed areas of North Western Rwanda to climate change impacts. The strategy of the project is to manage the risks and effects from recurring floods, landslides and erosion through an integrated natural resource management and alternative livelihoods programme in one of the most climate sensitive and vulnerable areas of Rwanda. The project aims to address factors that exacerbate the effects of intense rainfall and lead to flooding and landslides. These include erosion and unsustainable farming practices linked to demographic pressure on natural resources. By introducing erosion and flood control measures, building the capacity of farmers to adapt to climate variability and supporting the development of off-farm livelihoods to reduce the pressure on natural resources, the project will restore the ecosystem functions necessary to reduce the incidence and severity of flooding and landslides on local communities and resources. The anticipated impact of the project is the reduction of livelihood insecurity and losses from extreme climate events in 38,266 households located in the project area.   ",12/02/2019,
117,Building resilience for adaptation to climate change and climate vulnernabilities in agriculture in Saint Lucia,Project Under Implementation,"Ministry of Agriculture, Fisheries, Physical Planning, Natural Resources and Cooperatives",4 years,,07/08/2019,09/03/2021,Saint Lucia/Latin America & Caribbean,Caribbean Development Bank,,"USD 4,271,552","USD 9,858,570",Agriculture,"Saint Lucia’s agricultural sector provides the main source of livelihood security, household food security and incomes for 22% of the population. The productivity of the livelihood base is highly vulnerable to the impacts of climate change, such as hurricanes, intense rainfall, floods, droughts and temperature changes. Even normal rainfall can a trigger multiple landslides with extensive soil erosion and heavy sedimentation, which results in devastating losses to the farms. Small livestock farmers experience mortality in the herds, particularly among the young in goats and sheep, with cooler weather from prolonged rainfall, and small aquaculture farmers frequently experience losses, as the ponds go into disuse from siltation. The project goal is to build resilience in Saint Lucia’s the agriculture sector for livelihoods security through enhanced adaptive capacities for climate change and climate variability. The project objective is to increase the resilience of rural farm communities, increasing farm productivity, water and livelihood security and reducing vulnerability to natural hazards, climate vulnerability and change. The following three integrated components are proposed to capture the interventions of the project:   ",,
118,Enhancing Resilience of Samoa’s Coastal Communities to Climate Change,Project Completed,Min of Natural resources and Environment (MNRE),4 years,,12/14/2011,01/28/2013,Samoa/Asia-Pacific,UN Development Programme,WSM/MIE/Multi/2011/1/PD,"USD 8,732,351","USD 8,732,351",Multi-sector,        ,,
119,Reducing vulnerability and increasing resilience of coastal communities in the Saloum Islands (Dionewar and Fadial),Project Under Implementation,CONAF; ANA,3 years,,07/05/2017,10/23/2018,Senegal/Africa,Centre de Suivi Ecologique,SEN/NIE/Coastal/2015/1,"USD 1,351,000","USD 1,351,000",Coastal management,"Climate change and climate variability are impeding development efforts on Dionewar Island on the west coast of Senegal. Under the combined effects of climate change and human activities, over 38% of the mangrove swamp in the Saloum estuary has disappeared according to the estimates. This degradation has led to significant ecological and economic losses. One of the main consequences is the opening of a breach along the Sangomar Arrow (a sand spit), which threatens the existence of several human settlements and has contributed to the degradation of the mangroves due to increased salinity. The village of Dionewar is among those most affected. This project aims to address the threats posed by the dual effects of climate change and marine coastal erosion on the village of Dionewar. The overall objective of the project is to reduce the vulnerability of populations in Dionewar to flooding. The resilience of natural habitats and populations will be enhanced through the implementation of protective measures, revival of the main productive sectors and promotion of local adaptation strategies to cope with the adverse effects of climate change. The specific objectives are to:     ",,
120,Adaptation to Coastal Erosion in Vulnerable Areas,Project Completed,"Directorate of Environment of Senegal, NGOs and Co",3 years,,09/17/2010,01/21/2011,Senegal/Africa,Centre de Suivi Ecologique,SEN/NIE/Coastal/2010/1,"USD 8,619,000","USD 8,619,000",Coastal management,"Just a few years ago, the beach at Saly Portudal, in Senegal, was filled with tourists lounging under grass umbrellas, footballers playing pick-up games, and fishermen unloaded their catches, but today the coastal community in Senegal is one of countless coastal communities around the world that are suffering from sea-level rise and the other negative effects of accelerated climate change. After the beach was submerged, the largest tour operator in the Senegalese village departed and hotel room prices fell. As the number of tourists dwindled, so did the household incomes of Saly Portudal’s many local craftsmen. Erosion and salt-water flooding has destroyed rice fields, damaged docks and buildings, and caused silt buildups that hamper transit between rivers and the sea. The project, which encompasses the areas of Rufisque, Saly, and Joal, aims to protect people, houses, economic and cultural infrastructure in the region against coastal erosion. In Rufisque, work is being done on an update on the detailed technical feasibility studies for the design of coastal protection facilities and the achievements of those tasks; the validation of the feasibility studies; achievement of the infrastructure of protection; and the cleaning up of canals and connection with the sea. In Saly, the project is setting up protection facilities in the vulnerable areas where hotels, people and poor villages, as well as fishing docks are located. In Joal, the focus is on protecting against salination in the rice-growing areas, coastal infrastructure for processing activities, conducting Environmental Impact Assessment studies, and the monitoring of the implemented Environmental and Social Management plan. Other goals for Joal include an anti-salt barrier, strengthening of protection and development of the beach and fish smoke kilns, as well as the strengthening of environmental assessment awareness and training. Across all three project sites, the aim is to develop regulations that encompass adaptation, the revision of the environmental code, the adoption of the law on the littoral, and helping local people better understand adaptation techniques to climate change in coastal areas and about the importance of respecting regulations for the management of littoral zones.    ",11/01/2014,
121,Ecosystem Based Adaptation to Climate Change in Seychelles,Project Completed,MINISTRY OF ENVIRONMENT AND ENERGY,5.5 years,,12/20/2012,10/30/2014,Seychelles/Africa,UN Development Programme,SYC/MIE/Multi/2011/1,"USD 6,455,750","USD 6,455,750",Water management,"This project seeks to reduce the vulnerability of the Seychelles to climate change, focusing on two key issues—water scarcity and flooding. The climate change projections in the Seychelles show that rainfall, while increasing in overall terms, will become even more irregular. UNDP Seychelles: Farming for Life     ",,
122,Promoting Climate Resilience in the Cocoa and Rice Sectors as an Adaptation Strategy in Sierra Leone,Project Under Implementation,Ministry of Agriculture and Forestry (MAF),6 years,,07/08/2019,05/06/2020,Sierra Leone/Africa,International Fund Agricultural Dev,,"USD 2,940,567","USD 9,916,925",Multi-sector,"Sierra Leone is one of the most vulnerable countries to climate change in West Africa and among the Least Developed Countries (LDC), least able to adapt to the adverse effects of climate change. Agriculture is Sierra Leone’s second largest economic sector after mining contributing 59% to the GDP and is therefore facing long-term, high-risk exposure to climate change. Farmers’ high dependence on rain-fed agriculture and natural resource-based livelihoods are key influencing factors of their vulnerability. Farmers have reported experiencing changes in rainfall patterns characterized by rainfall in the dry season and dry periods in the rainy season. Climatic changes have manifested in more intense rainfall patterns with more frequent severe floods and seasonal droughts, late onset of rains, rising temperatures, particularly in the dry season, stronger winds including reports of local tornadoes, more intense thunderstorms and more frequent landslides. The overall objective of this additional climate finance for adaptation is to reduce vulnerability and increase adaptive capacity to respond to the impacts of climate change, including variability at local and national levels as well as on natural resources critical for sustaining agricultural production and increasing food security and nutrition of vulnerable poor communities. The project will deliver the stated objective through three components:   ",,
123,Enhancing urban resilience to climate change impacts and natural disasters: Honiara,Project Under Implementation,"Honiara City Council (HCC); Ministry of Lands, Hou",4 years,,10/10/2017,07/28/2018,Solomon Islands/Asia-Pacific,UN-Habitat,SLB/MIE/Urban/2016/1,"USD 2,202,550","USD 4,395,877",Urban development,"Small Island Developing States (SIDS) in the Pacific, such as the Solomon Islands, are amongst the most vulnerable countries to the risks of future climate change. In Honiara – the capital city of the Solomon Islands – there is acute sensitivity to external shocks and stresses due to existing ‘adaptation deficits’ in urban infrastructure, housing and service provision. These deficits result from a range of development drivers; including rapid and unplanned urbanization, the associated growth of informal settlements, a lack of adequate infrastructure and basic services in many areas, issues related to land tenure in peri-urban areas, and weak institutional structures governing the urban environment. The intention of this project is therefore to work with vulnerable urban communities in Honiara to implement climate adaptation actions and to undertake capacity strengthening initiatives across multiple urban scales – community, ward and city-wide (including issues that cross the city-province boundary) – in order to strengthen the climate resilience of the city. The overarching goal of this project is to enhance the resilience of Honiara and its inhabitants to current and future climate impacts and natural disasters, with a particular focus on pro-poor adaptation actions that involve and benefit the most vulnerable communities. Community-level objectives Ward-level objectives City-wide objective   ",,
124,Enhancing resilience of communities in Solomon Islands to the adverse effects of climate change in agriculture and food security,Project Completed,,4 years,,03/18/2011,06/28/2011,Solomon Islands/Asia-Pacific,UN Development Programme,SLB/MIE/Food/2010/1,"USD 5,533,500","USD 5,533,500",Urban development,      ,,
125,Taking adaptation to the ground: A small Grants Facility for enabling local-level responses to climate change,Project Completed,South South North Trust,4 years,,10/10/2014,09/16/2015,South Africa/Africa,South Africa National Biodiversity Institution,ZAF/NIE/Multi/2013/2,"USD 2,442,682","USD 2,442,682",Multi-sector,"Climate change projections have indicated that both the Mopani District, in Limpopo in the north east of South Africa, and the Namakwa District, in the Northern Cape in the north west of South Africa, will be subject to increasing temperatures and changing rainfall patterns. According to local scale analysis of historical trends and future projections, there is a distinct warming trend for both Mopani and Namakwa, which will be far more severe by 2050 if global mitigation efforts are unsuccessful. Rainfall changes are much less certain, with temporal and spatial variability. Yet in historical trends there are indications of an increase in the intensity of heavy rainfall events in both areas, evident through a decrease in the number of rain days coupled with an unchanged average annual rainfall. Warming, and the associated increase in the number of extremely warm days, is set to impact evaporation rates and water availability. This is a concern as water is already scarce in Namakwa and in parts of Mopani. Greater amplitude of dry and wet spells, along with increasing temperatures, will negatively impact already stressed communities in both areas – thus rendering them more vulnerable to the impacts of climate variability and change, more specifically droughts, seasonal shifts and storm-related disaster events. Climate-related risks are generally greater for disadvantaged, rural and poor communities because of limited adaptive capacity and greater sensitivity to climate-driven impacts. Both Mopani and Namakwa Districts are characterized by the prevalence of rural, poor communities vulnerable to the impacts of climate variability and change. This threat requires climate finance for adaptation activities to find its way to these most vulnerable communities. However, such communities typically lack the capacity required to access the necessary funding. The project thus entails the implementation of a small grant finance mechanism to address this financial, capacity and adaptation need. The Community Adaptation Small Grants Facility (SGF) will increase climate resilience in rural communities and socio-economic systems in these two pilot district municipalities in South Africa, by working directly with local stakeholders and anticipated beneficiaries through a small granting mechanism. The overall goal of the project is to ensure that vulnerable, rural communities in the project target areas have reduced vulnerability and increased resilience to the anticipated impacts of climate variability and change. The objective is to incorporate climate adaptation response strategies into local practices so that assets, livelihoods and ecosystem services are protected from climate-induced risks associated with expected droughts, seasonal shifts and storm-related disaster events. The project will do so through three main components: The Community Adaptation SGF will be led by SouthSouthNorth (SSN) Trust, who will act as the Executing Entity (EE), and Conservation South Africa (CSA), who will act as the Facilitating Agency in the Namakwa District. The Facilitating Agency for the Mopani District is still to be selected.   Component 1: Small grants – Small grants to vulnerable communities deliver tangible and sustainable benefits USD 1,542,000 Component 2: Institutional capacity – Local institutions empowered to identify and implement adaptation response measures USD 325,000 Component 3: Lesson learnt – Lessons learnt facilitate future up-scaling and replication of small grant-financing approaches USD 189,000 Project/Programme Execution Cost USD 195,320 Total Project/Programme Cost (= Project Components + Execution Cost) USD 2,251,320 Implementing Fee USD 191,362 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 2,442,682   ",12/31/2021,
126,"Building Resilience in the greater uMngeni Catchment, South Africa",Project Under Implementation,uMgungundlovu District Municipality,5 years,,10/10/2014,12/11/2015,South Africa/Africa,South Africa National Biodiversity Institution,ZAF/NIE/Water/2013/1,"USD 7,495,055","USD 7,495,055",Water management,"This project aims to reduce climate vulnerability and increase the resilience and adaptive capacity in rural and peri-urban settlements and small-scale farmers in productive landscapes in the uMgungundlovu District Municipality (UMDM), KwaZulu Natal Province, South Africa, that are threatened by climate variability and change, through an integrated adaptation approach. This is enabled through implementing a suite of complementary gender sensitive project interventions, focusing on: A number of sites have been identified by the UMDM as demonstration sites for the project. Four sites have been selected, based on the results of a vulnerability assessment, stakeholder consultations, and subsequent short-listing and ground-truthing through site visits. The sites are: The majority of the population in the province of KwaZulu-Natal lives in rural or peri-urban areas, often in informal settlements; UMDM has a population of one million people, with a high percentage of poverty, HIV/AIDS prevalence and a very high proportion of female-headed households.   Component 1: Early warning and response systems improve preparedness and adaptive capacity of local communities and small scale farmers, drawing on and integrating scientific and local knowledge USD 945,737 Component 2: A combination of ecological and engineering solutions helps local communities to reduce vulnerability to the existing and anticipated impacts of climate variability and change USD 3,197,307 Component 3: Small scale farmers have improved resilience and reduced vulnerability to existing and anticipated impacts of climate variability and change USD 1,410,476 Component 4: Capacity building and sharing of lessons and policy recommendations facilitates scaling up and replication USD 698,116 Project/Programme Execution Cost USD 656,249 Total Project/Programme Cost (= Project Components + Execution Cost) USD 6,907,885 Implementing Fee USD 587,170 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 7,495,055      ",,
127,Build Resilience to Climate Change and Climate Variability of Vulnerable Communities in Mullaitivu District of Sri Lanka,Proposal Approved,"National Level: Ministry of Environment,Community Level: Community Based Organisations in target communities",2 years,,03/13/2023,,Sri Lanka/Asia-Pacific,UN-Habitat,,"USD 1,032,591","USD 2,000,000",Multi-sector,"   Mullaitivu District is one of the newly created Districts in Sri Lanka. Mullaitivu District belongs to the Dry Zone which has four agro-ecological regions. Mullaitivu District regularly experiences droughts, floods, strong winds and lightning and being a coastal area is open to the threat of coastal hazards. The salinity of water is increased during the drought period with inundations, saltwater intrusion, resulting in lack of drinking water and water for agriculture, pollution of waterways, wells, decreasing agricultural crop yields, seasonal increases in waterborne diseases and increased soil erosion from heavy rainfall events. These have caused significant loss to property, agricultural land, irrigation channels and built infrastructure etc. on a number of occasions over several years. In addition, Mullaitivu is one of the Districts with socioeconomic resilience to disasters is less than or equal to 30%, indicating that the average resident of Mullaitivu District struggles to cope with and recover from shocks when they occur. This struggle results in a lower likelihood of recovery in the long-term, and is due to a complex of factors, such as, poverty incidence, diversity of income sources, financial inclusion, and social protection enrollment, the net effects of which, wellbeing losses are designed to measure. The proposed project introduces effective drought, saltwater intrusion, and other preparedness measures to reduce risk levels in Mullaitivu District and increase adaptive capacities and resilience of the most vulnerable sections of the communities. The overall objective of the proposed project is to support climate resilient development and increase capacity for climate change adaptation of target communities living in the Mullaitivu District. This will be done by improving climate related socio-economic outcomes in the targeted fishing and agricultural communities through the implementation of community-based adaptation solutions; and by supporting climate resilient development and increase institutional and community capacity to adapt to the changing and variable climate. The project will provide both increased cash income of communities through improvement of livelihood and improved resilience through small-scale infrastructure and will contribute to the generation of evidence-based practices. The project aims to benefit more than 12,000 individuals directly and 16,000 indirectly.     ",,
128,Addressing Climate Change Impacts on Marginalized Agricultural Communities Living in the Mahaweli River Basin of Sri Lanka,Project Completed,"Ministry of Environment,Ministry of Agrarian Services and Wildlife",3 years,,12/14/2012,11/04/2013,Sri Lanka/Asia-Pacific,UN World Food Programme,LKA/MIE/Rural/2011/1,"USD 7,989,727","USD 7,989,727",Rural development,"The project targets rain-dependent farming families in two hazard-prone areas in the Mahaweli Basin. The project is designed to address specific vulnerabilities faced by rain-dependent farmers; strategies to overcome dry season food and income security; introduction of diversified income sources to broad-base risk, improved water storage and irrigation to overcome uncertainty of rainfall, improved soil quality and fertility for increased production, and timely, quality agriculture advice and extension. The overall objective of the project is to secure community livelihoods and food security against climate change-induced rainfall variability leading to longer droughts and more intense rainfall. This project directly addresses these climate-induced impacts through two project components:1. Developing household food security and build resilient livelihoods for rain-fed farming households2. Building institutional capacity in village, local, regional service delivery to reduce risks associated with climate-induced rainfall variability Related Links    ",09/30/2020,
129,Increasing the climate change resilience of communities in Eastern Ghouta in Rural Damascus to water scarcity challenges through integrated natural resource management and immediate adaptation interventions,Project Under Implementation,"United Nations Development Programme (UNDP),Food and Agricultural Organization (FAO),UN-Habitat",3.5 years,,04/08/2021,10/24/2021,Syrian Arab Republic/Asia-Pacific,UN-Habitat,,"USD 9,997,156","USD 9,997,156",Water management," The Syrian Arab Republic is highly vulnerable to the effects of global warming and climate change in its various dimensions. This is manifested in various climatic phenomena, but alarming are the increasing temperatures and droughts, already in the short term, and projected reduction of precipitation, mainly in the long term. The effects of these climatic phenomena impact all social and economic sectors and represent a threat to livelihoods, agricultural productivity, water availability and community health. The crisis has exacerbated these threats, since it led to a weak and deteriorating adaptive capacity resulted from damaged infrastructure, limited institutional capacity, rapid resettlement of displaced people, returnees and high level of poverty. This project aims to reduce vulnerabilities to water availability challenges in one of the most vulnerable areas in Syria: Eastern Ghouta. To manage water and land resources efficiently, also considering future climate change risks and population trends in this area, an integrated natural resource management strategy will be developed. Complementing the strategy, the proposed project will directly build the resilience of selected communities though the implementation of concrete no-regret adaptation activities including the treatment of wastewater which is currently pollution water resources in the area and the establishment of water efficient irrigation systems.   ",,
130,An integrated landscape approach to enhancing the climate resilience of small-scale farmers and pastoralists in Tajikistan,Project Under Implementation,Committee for Environmental Protection (CEP),4 years,,07/08/2019,08/28/2021,Tajikistan/Asia-Pacific,UN Development Programme,,"USD 8,136,171","USD 9,996,441",Rural development,"The Republic of Tajikistan is the most climate-vulnerable country in Central Asia. Extreme rainfall events have become more frequent and intense, the rainfall season has shortened in many parts of the country, air temperatures have risen markedly, and glacial melting is accelerating. As a result, hydrometeorological disasters such as droughts, floods, mudflows and landslides are more frequent and rates of soil erosion across the country are increasing. The socio-economic impacts of these changes are considerable: livelihoods, agricultural productivity, water availability and hydroelectricity production are all compromised. The project aims to introduce an integrated approach to landscape management to develop the climate resilience of rural communities in Tajikistan. The project’s activities will focus in particular within one of the most climate-vulnerable river basins, namely the Kofirnighan River Basin (KRB). The project has three components:   ",,
131,Strategic Water Harvesting Technologies for Enhancing Resilience to Climate Change in Rural Communities in Semi-Arid Areas of Tanzania (SWAHAT),Project Under Implementation,Sokoine University of Agriculture,4 years,,09/23/2020,10/13/2021,"Tanzania, United Republic of/Africa",National Environment Management Council,,"USD 815,728","USD 1,280,000",Agriculture,"The objective of proposed SWAHAT project is enhancing resilience and adaptation of semi arid rural communities to climate change-induced impacts of drought, floods and water scarcity. This will be achieved through strategic water harvesting technologies that will contribute to improved crops, aquaculture and livestock productivity, reforestation as well as combating emerging crops and livestock pests and diseases. The conceptual design of the water harvesting dam has been designed to ensure afforestation of the catchment before the dam thus prevention excessive siltation. The constructed or rehabilitated dams will supply water for all the proposed resilience and adaptation enhancing integrated innovations to be implemented on the semi-arid landscapes. In addition, synergism between aquaculture and agricultural activities will be done to enhance nutrient recycling and improve resource use efficiency. Nursery for fruits and forest trees as well as vegetable gardens will be established and supply seedlings for afforestation and horticulture. Pastureland and animal husbandry infrastructure will be established downstream of the dam for improved productivity and supply of manure for soil fertility improvement. The afforested landscape will integrate apiary units, provide fuel wood and restore habitats for biodiversity conservation. All these integrated approaches will contribute to livelihoods diversification to improve adaptation and resilience capacity to climate change of the semi-arid communities and the surrounding ecosystem.   ",,
132,Bunda Climate Resilience and Adaptation Project,Project Under Implementation,Bunda District Council,3 years,,04/08/2021,03/04/2022,"Tanzania, United Republic of/Africa",National Environment Management Council,,"USD 786,269","USD 1,400,000",Agriculture," The Bunda district represents the section of poor rural communities of the Mara region in Tanzania. There are highly dependent on rain fed subsistence agriculture, and are vulnerable to land degradation and forest resources due to poor farming practices, unsustainable charcoal production and fuel wood harvesting, declining fish stock, illegal and primitive fishing practices and livestock grazing aggravate the impacts of climate change on the communities’ livelihood systems, amplifying communities’ vulnerability and limiting their adaptive capacity. This project proposes to develop and implement concrete adaptation actions at grass root levels to increase community livelihood resilience to climate change effects and cover the following sectors: water resources and supply, agriculture, fisheries and aquaculture, livestock, forestry and ecosystems and gender in relation to climate change. The project applies transformative integrated environmental management and aquaculture innovations, resilient rural water supply systems and Ever-Green-Agricultural (EVA) practices to reduce vulnerabilities and the impact of climate change on local communities in the district. This approach offers practical and effective combination of Community-Based-Adaption and Ecosystem-Based-Adaptation techniques to support transformation of livelihood system, combat poverty, enhance greater climate resilience of rural communities and gender equality while reducing emissions through long-term storage of carbon in landscapes. The anticipated impact of the project is to benefit 36,218 men and women.   ",,
133,Enhancing Climate Change Resilience of Coastal Communities of Zanzibar,Project Under Implementation,"Department of Environment, Second Vice President’s Office, Zanzibar",3 years,,06/01/2020,01/12/2022,"Tanzania, United Republic of/Africa",National Environment Management Council,,"USD 243,023","USD 1,000,000",Coastal management,"In Zanzibar, one of the two countries that form the United Republic of Tanzania (URT), climate variability has caused prolonged dry periods and unpredictable rainfall pattern making crop cultivation unproductive. Freshwater resources are also in limited supply mainly dependent on seasonal rains that store water in inefficient groundwater aquifers consisting of freshwater lenses floating on the underlying seawater. Furthermore, increasing temperatures have occasionally caused seal level rise leading to saltwater intrusion in low-lying farm fields, notably rice farms. The project will progress activities geared towards enabling climate resilient livelihoods in climate impacted areas of Zanzibar. Thus, the project’s main objective is to build the capacity of smallholder farmers in tackling climate change impacts through practical and innovative solutions; that have concrete and tangible outputs. Specifically, the project envisages achieving the following:   ",,
134,Enhancing Climate Change Adaptation for Agro-Pastoral Communities in Kongwa District,Project Under Implementation,"The Foundation for Energy,Climate and Environment, Kongwa District Council",4 years,,06/01/2020,10/12/2021,"Tanzania, United Republic of/Africa",National Environment Management Council,,"USD 848,030","USD 1,200,000",Rural development,"With the emerging challenges of climate change and climate variability, many socio-economic sectors in Tanzania are vulnerable to climate related risks. These include water, where there is a general drying trend of natural water springs and rivers, energy where the hydropower performances are frequently interrupted by drought events, agriculture where crops and livestock suffer the impacts of drought and flooding and increasing occurrences of epidemics from pests and diseases in the health sector. In general, more than 70% of natural disasters in Tanzania are climate related. They are linked to droughts and floods and these have become more frequent as a result of climate change and climate variability. Several studies conducted in various regions and districts in the United Republic of Tanzania, indicate that rural areas especially agro-pastoral communities have been experiencing the effect of climate change through crop failures, decreased crop yields, increased water scarcity and sometimes shrinkage and drying of grazing lands/pastures due to increased and intensified drought periods. The predominance of more bad years as commonly referred by communities in rural areas of Tanzania have negatively impacted farmers‘ livelihoods, their economies and social life. In Kongwa district for example, worryingly, farmers are reporting that both the timing of rainy seasons and the pattern of rains within seasons are changing. These observations of change in climate are striking in that they are widespread throughout the district and are pronounced in remarkably consistent terms in almost all villages of the district. ",,
135,Implementation Of Concrete Adaptation Measures To Reduce Vulnerability Of Livelihood and Economy Of Coastal Communities In Tanzania,Project Completed,Vice President&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;apos;s Office (Division of Environment),5 years,,12/14/2011,10/29/2012,"Tanzania, United Republic of/Africa",UN Environment Programme,TZA/MIE/Coastal/2010/1,"USD 5,008,564","USD 5,008,564",Coastal management,"Tanzania’s largest city, Dar es Salaam, is a coastal metropolis prone to flooding. Already, sections of the 2.6-km sea wall that protects this major commercial, administrative and industrial center are severely degraded or completely destroyed. Inadequate drainage systems exacerbate urban flooding during the rainy season, often resulting in traffic jams, and health hazards from water-borne pollution. Climate change is expected to worsen the threat to key infrastructure in Dar es Salaam.   ",,
