Country/Region,Project Title,Project Description,Sector,Status,Implementing Entity,Executing Entity,Duration,Approval Date,Start Date,Completion Date,Transferred Amount,Grant Amount
Regional/Other,"Building urban climate resilience in south-eastern Africa (Madagascar, Malawi, Mozambique, Union of Comoros)","Encroachment of settlements near the Likangala River Africa is undergoing rapid urbanization that will result in almost 1.33 billion people living in cities by 2050, compared to 470 million at present. A large part of the housing demand is being met by growing informal settlements characterized by poor living conditions, lack of access to basic services and infrastructure, and often located in areas exposed to natural hazards. Southern Africa is highly exposed to recurrent natural hazards such as cyclones, floods, sea level rise/coastal erosion and drought. Urban areas are generally more vulnerable to risks than rural areas, due to denser populations, concentration of assets and variety of activities within comparatively smaller geographical areas. Urban risks are exacerbated by the increasing severity and unpredictability of disruptive events caused by climate change effects. At the same time, inadequate institutional capacities and weak governance processes are significantly exacerbated by the rapid expansion of both formal and informal urban settlements. Developing local governance capacity in risk management and resilience planning is a key strategy to reduce the multiple risks cities are exposed to and adapt to the adverse effects of climate change. The project will strengthen urban climate resilience by working with various levels of government and stakeholders and ensuring strong participation, in particular, of the most marginalized and vulnerable groups, in all its phases – from conception to evaluation. The main activities will take place in Madagascar, Malawi, Mozambique and the Union of Comoros – all located in the south-eastern part of the African continent, which is a region highly vulnerable to common transboundary extreme climate-related events. Four cities with different types of vulnerabilities have been selected in these countries to implement pilot climate adaptation projects following a participatory approach, namely: Morondava, Madagascar; Zomba, Malawi; Chokwe, Mozambique; and Moroni, Comoros. The project has two objectives.   ",Disaster risk reduction and early warning system,Project Under Implementation,UN-Habitat,"For regional coordination purposes: Disaster Risk Reduction Unitof the Southern Africa Development Community (SADC), inpartnership with DiMSUR: Technical Centre for Disaster RiskManagement, Sustainability and Urban ResilienceFor national level activities: National Government EntitiesFor city level activities: Oxfam International (in cooperation withmunicipalities, local NGOs and communities) and sub-contractors",4 years,7/15/2019,6/23/2020,,"USD 10,702,973","USD 13,997,423"
Regional/Other,"Integrated climate-resilient transboundary flood risk management in the Drin River basin in the Western Balkans (Albania, the Former Yugoslav Republic of Macedonia, Montenegro)","The Drin River Basin (DRB) is a transboundary river basin, which is home to 1.6 Million people and extends across, Kosovo, the Former Yugoslav Republic Macedonia, Montenegro and Greece. Climate change and climate variability have been increasing the frequency, intensity and impact of flooding in the basin. Historical flood data from the Western Balkans suggests a more frequent occurrence of flood events, attributed to an uneven distribution of precipitation and torrential rain, particularly over the last decade. More and larger areas and, therefore, a greater population numbers are being affected by flooding with a strong impact on national economies. Future climate scenarios project a further increase in the likelihood of floods as well as in their destructive nature. Increased frequency and intensity of floods and droughts, increased water scarcity, intensified erosion and sedimentation, increased intensity of snow melt, sea level rise, and damage to water quality and ecosystems are forecasted. Moreover, climate change impacts on water resources will have cascading effects on human health and many parts of the economy and society, as various sectors directly depend on water such as agriculture, energy and hydropower, navigation, health, tourism – as does the environment. The objective of the project is to assist the riparian countries in the implementation of an integrated climate-resilient river basin flood risk management approach in order to improve their existing capacity to manage flood risk at regional, national and local levels and to enhance resilience of vulnerable communities in the DRB to climate-induced floods. The countries will benefit from a basin-wide transboundary flood risk management (FRM) framework based on: improved climate risk knowledge and information; improved transboundary cooperation arrangements and policy framework for FRM and; concrete FRM interventions.       ",Disaster risk reduction and early warning system,Project Under Implementation,UN Development Programme,"Global Water Partnership, UNDP",5 years,3/15/2019,10/22/2019,,"USD 9,011,537","USD 9,927,750"
Regional/Other,"Integration of climate change adaptation measures in the concerted management of the WAP transboundary complex: ADAPT-WAP (Benin, Burkina Faso, Niger)","The W-Arly-Pendjari (WAP) Complex is one of Africa’s most important compositions of terrestrial transboundary ecosystems. It is considered as the largest and most important continuum of unharmed ecosystems in the West African savannah belt. Shared by Benin, Burkina and Niger, this network of protected areas consists of a number of areas with different status and protection regimes. The natural resources of the WAP Complex represent a major asset for the local populations whose livelihoods are mainly based on agriculture, livestock breeding, fishery, forest resources (wood and non-wood products), and tourism. However, the WAP Complex is subject to multiple pressures and threats, mainly conflicts of use, poaching, overgrazing, agricultural lands expansion, transhumance, bushfires, surface water pollution, climate change and variability, unsustainable fishery and use of wood and non-wood products. Added to this, the WAP Complex is located in an agro-pastoral region characterized by high inter-annual variability exacerbated by climate change which makes it more vulnerable. The project will focus on the following issues: The project aims to strengthen the resilience of ecosystems and improve populations’ livelihoods within the WAP Complex in relation with the climate change issue through the establishment of a Multi-Risk Early Warning System and the implementation of concrete adaptation measures. The project specific objectives are:   ",Disaster risk reduction and early warning system,Project Under Implementation,Sahara and Sahel Observatory,Regional Management Unit (RMU) hosted by the OSS,4 years,7/15/2019,4/21/2020,,"USD 5,048,450","USD 11,536,200"
Regional/Other,"Climate Change adaptation in vulnerable coastal cities and ecosystems of the Uruguay River (Argentina, Uruguay)","The low basin of the Uruguay River plays an important role in providing territorial structure to cities along the river, including some port cities, located along its margins and provides a direct physical link between Argentina and Uruguay. Riparian protected areas of significant importance are located along this river corridor, which is shared by Argentina and Uruguay. River floods are becoming increasingly frequent and severe due to the effects of climate change, thus causing serious damage to the infrastructure, generating economic losses and affecting the population in both countries. Droughts, floods, cold and heat waves, strong winds, hail, heavy rains and severe storms have been observed. Especially, floods caused by high water levels of the Uruguay River and its tributaries are the phenomena that generate the greatest struggles and have the strongest impacts in the cities along the river corridor. A series of changes that have affected the basin’s hydrological system include increase in average annual rainfall and extreme rainfall, decrease of the soil’s water infiltration and storage capacity, the decrease in the volume stored in the underground layers due to erosion and compaction, as a result of inadequate agricultural practices, afforestation with exotic species and deforestation of the natural forest. Ecosystems are affected by these changes, which endanger the natural supply of natural resources, biodiversity and river dynamics. The project is aimed at promoting resilience in these communities and ecosystems, and reducing their vulnerability by means of developing instruments, tools and shared experiences for planning and adapting to climate change. The specific objectives of the project are:     ",Disaster risk reduction and early warning system,Project Under Implementation,Development Bank of Latin America,"Argentine Government Secretariat of Environment and Sustainable Development,Ministry of Housing, Territorial Planning andEnvironment of Uruguay",6 years,7/15/2019,8/4/2021,,"USD 7,699,998","USD 13,999,996"
Regional/Other,"Integrating Flood and Drought Management and Early Warning for Climate Change Adaptation in the Volta Basin (Benin, Burkina Faso, Côte d’Ivoire, Ghana, Mali, Togo)","The geographic setting of the Volta Basin, covering an area of about 400,000 km2 and extending from semi-arid to sub-humid areas, is highly vulnerable to meteorological and hydrological events. Over the last 20 years, almost two million people have been affected by floods in the Volta basin. Key affected stakeholders are mainly people working in the agricultural sector as around 68% of the population in the basin is largely dependent on agriculture. The main objective of the project is to assist the six countries (Benin, Burkina Faso, Côte d’Ivoire, Ghana, Mali and Togo) in the implementation of coordinated and joint measures to improve their existing management plans at regional, national and local level and to build on the lessons learned from the past and current projects related to disaster risk reduction and climate adaptation. As droughts and floods are a common feature in the Volta basin region, integrated water resources management, risk maps and development of early warning systems must be implemented to increase resilience to floods and droughts to ensure socio-economic sustainable development. Equilibrated management of the water resources will be sought to make better use of the water surplus during floods to be stored in view of drought events. Furthermore, at local scale, agricultural production will be tailored to these challenges with provision of knowledge and early warnings that will enable farmers to adapt their production methods. The three specific objectives of the project are to:   ",Disaster risk reduction and early warning system,Project Under Implementation,World Meteorological Organization,"World Meteorological Organization (WMO), Volta Basin Authority (VBA) and Global Water Partnership West Africa (GWP-WAF)",4 years,10/12/2018,6/25/2019,,"USD 7,920,000","USD 7,920,000"
Regional/Other,"Restoring marine ecosystem services by rehabilitating coral reefs to meet a changing climate future (Mauritius, Seychelles)","Climate change has intensified coral bleaching events and mortality in Mauritius and Seychelles over recent decades. Climate change projections predict that global coral bleaching events will increase in frequency and intensity. To reduce the adverse impact of climate change on local communities and coral reef-dependent economic sectors in Mauritius and Seychelles, the project will increase climate resilience at both regional and local levels by implementing coral reef restoration with thermal tolerant corals as adaptation to climate change. The three specific objectives of the project are :   ",Food Security,Project Under Implementation,UN Development Programme,"Mauritius: Ministry of Ocean Economy, Marine Resources, Fisheries, and Shipping Seychelles: Ministry of Environment, Energy, and Climate Change",5 years,10/12/2018,11/26/2020,,"USD 5,080,435","USD 10,000,000"
Regional/Other,"Promoting Climate-Smart Agriculture in West Africa (Benin, Burkina Faso, Ghana, Niger, Togo)","In West Africa, climate change is manifested through various facts. According to the 5th Evaluation Report by the Intergovernmental Panel on Climate Change (IPCC), temperatures observed in West Africa have increased over the past 50 years. It was noted that the number of cold days and nights has dropped and that the number of hot days and nights have increased between 1970 and 20106. With regard to rainfall, they have declined during the last 50 years with the migration of isohyets towards the south. This increase in temperature, noted in all the countries concerned by the project has had an impact on the means of agricultural production of the populations and has reduced the capacity of the natural regeneration of the ecosystems. With the future looking even worse for Africa and particularly West Africa, these impacts will continue to grow. The Regional Project aims to reduce the vulnerability of farmers and pastoralists to increase climatic risk, which undermines the level of food security, income generation, and the supporting ecosystem services of poor communities. The specific objectives of the project are: The project consists of three components:   ",Food Security,Project Under Implementation,Banque Ouest Africaine de Developpement,"ECOWAS Regional Agency for Agriculture and Food (RAAF) in collaboration with Directorates in Charge of Environment, Agriculture, and Livestock in the 5 countries indicated above",3.5 years,7/16/2018,11/17/2020,,"USD 12,282,000","USD 14,000,000"
Regional/Other,"Reducing climate vulnerability and flood risk in coastal urban and semi urban areas in cities in Latin America (Chile, Ecuador)"," Adaptation to climate change in coastal cities is a main challenge for both countries as coastal areas are more exposed and vulnerable to the negative effects of climate change and the impacts of weather-related disasters. The project objective is to reduce vulnerability to climate-related floods, mud flows and landslides in three coastal cities by mainstreaming a risk-based approach to adaptation, building collaboration and networking, and developing a culture of adaptation. The project focus on the hydrometeorological hazards of mud flows in Antofagasta and Taltal, and flooding and landslides in Esmeraldas. The project is organised into three components: ",Disaster risk reduction and early warning system,Project Under Implementation,Development Bank of Latin America,Ministry of the Environment (Chile); Ministry of the Environment (Ecuador),5 years,7/16/2018,1/22/2020,,"USD 12,364,523","USD 13,910,400"
Regional/Other,"Adapting to Climate Change in Lake Victoria Basin (Burundi, Kenya, Rwanda, Tanzania, Uganda)","Lake Victoria Basin extends into five countries, namely Kenya, Tanzania, Uganda, Burundi, and Rwanda. In the Lake Victoria Basin (LVB), climate change is inadequately integrated into regional transboundary water catchment management which is increasing the vulnerability of LVB communities. This problem is expected to intensify under the conditions of future climate change, specifically increasing variability in rainfall patterns and increasing mean annual temperatures. The overall objective of this regional project is to reduce vulnerability to the negative effects of climate change in the five Lake Victoria Basin countries by building climate resilience. To achieve this objective, there are five project outcomes:   ",Transboundary Water Management,Project Under Implementation,UN Environment Programme,Lake Victoria Basin Commission (LVBC),3 years,7/5/2017,6/27/2018,,"USD 5,000,000","USD 5,000,000"
Regional/Other,"Building adaptive capacity through food and nutrition security and peacebuilding actions in vulnerable Afro and indigenous communities in the Colombia-Ecuador border area (Colombia, Ecuador)","The border area between Colombia and Ecuador is one of the most climate sensitive and food-insecure regions in Latin America. The region’s climate is heavily influenced by effects from the Inter-Tropical Convergence zone (ITCZ) and by other meteorological and geographic conditions related to solar radiation and wind and precipitation systems as well as recurrent climate change effects from La Niña and El Niño. These factors influence not only macro- and micro-climates, but also a range of ecosystems within the region, including the coastal mangroves and inland dry and humid forest systems which are prioritized for this project. The project area encompasses more than 915,000 hectares in two binational watersheds – the Guaitara-Carchi and the Mira-Mataje. The Guaitara-Carchi watershed is key to the project owing its importance as an upland area and major tributary to the Mira-Mataje watershed where targeted communities are located. These watersheds pass through Nariño department in Colombia, and Carchi and Esmeraldas provinces in Ecuador. Approximately 54 percent of the combined watersheds area is in Colombia and 46 percent in Ecuador. This regional project aims to strengthen food security and nutrition through climate change adaptation measures in two watershed on the Colombia-Ecuador border area in accordance with the binational working groups’, and Awa and Afro community´s priorities. Project actions will contribute to reversing the marginalization that Afro and Awá communities have faced from the social and environmental damage from the conflict and contribute to peace and reconciliation through adaptation to climate change. The project aims to achieve the following high-level objectives:     ",Food Security,Project Under Implementation,UN World Food Programme,"Corponariño, Gran Familia del Pueblo Awá Binaciona",5 years,7/5/2017,5/3/2018,,"USD 11,644,031","USD 14,000,000"
Regional/Other,"Agricultural Climate Resilience Enhancement Initiative (ACREI) (Ethiopia, Kenya, Uganda)","The Greater Horn of Africa (GHA) region is highly vulnerable and regularly gets exposed to natural disasters, notably drought. Due to climate change, the frequency and severity of these natural disasters are expected to increase. These natural disasters severely impact on food production given that most of the agricultural production in the region is rain-fed. Persistent and deteriorating food and nutrition insecurity remain a major concern particularly in arid and semiarid lands which are hotspots for the highest crisis and emergence food insecurity levels. Apart from conflicts and insecurity, prolonged dry spells and droughts have been the main drivers of food insecurity in these areas. With the ever rising population growth in the GHA region, concerted efforts are needed to stabilise and more importantly increase food production. The goal of this initiative is to develop and implement adaptation strategies and measures that will strengthen the resilience of vulnerable smallholder farmers, agro-pastoralists and pastoralists in the Horn of Africa to climate variability and change. The overall objective is improved adaptive capacity and resilience to current climate variability and change among targeted farmers, agro-pastoralists and pastoralist communities. The target project sites are Golaoda and Mieso in East and West Haraghe in Ethiopia, Taita Taveta County in Kenya, and Sembabule and Isingiro Districts in Uganda.   ",Food Security,Project Under Implementation,World Meteorological Organization,FAO and IGAD,3 years,3/17/2017,8/30/2018,,"USD 6,800,000","USD 6,800,000"
Rwanda/Africa,Reducing Vulnerability to Climate Change in North West Rwanda through Community Based Adaptation,"Rwanda’s high population density combined with its reliance on rain-fed agriculture means that the predominantly rural population is increasingly farming smaller and smaller plots of land. The large number of people farming on Rwanda’s hilly and mountainous terrain has led to serious environmental degradation due to overexploitation of the soil and extensive erosion. The farmed Northern and Western uplands of Rwanda are considered the most vulnerable to erosion due to their steeper terrain and higher annual rainfall. In addition to these unsustainable farming practices, there has been significant unplanned settlement in fragile and sensitive areas. Recent changes in the variability of rainfall have had a dramatic effect on these already highly perturbed ecosystems particularly in the mountainous North West part of the country which has experienced floods and landslides. Objectives: The objective of the project is to increase the adaptive capacity of natural systems and rural communities living in exposed areas of North Western Rwanda to climate change impacts. The strategy of the project is to manage the risks and effects from recurring floods, landslides and erosion through an integrated natural resource management and alternative livelihoods programme in one of the most climate sensitive and vulnerable areas of Rwanda. The project aims to address factors that exacerbate the effects of intense rainfall and lead to flooding and landslides. These include erosion and unsustainable farming practices linked to demographic pressure on natural resources. By introducing erosion and flood control measures, building the capacity of farmers to adapt to climate variability and supporting the development of off-farm livelihoods to reduce the pressure on natural resources, the project will restore the ecosystem functions necessary to reduce the incidence and severity of flooding and landslides on local communities and resources. The anticipated impact of the project is the reduction of livelihood insecurity and losses from extreme climate events in 38,266 households located in the project area.   ",Rural development,Project Completed,"Ministry of Environment, Rwanda",Rwanda Natural Resources Authority (RNRA),4 years,11/1/2013,6/2/2014,12/2/2019,"USD 9,969,619","USD 9,969,619"
Saint Lucia/Latin America & Caribbean,Building resilience for adaptation to climate change and climate vulnernabilities in agriculture in Saint Lucia,"Saint Lucia’s agricultural sector provides the main source of livelihood security, household food security and incomes for 22% of the population. The productivity of the livelihood base is highly vulnerable to the impacts of climate change, such as hurricanes, intense rainfall, floods, droughts and temperature changes. Even normal rainfall can a trigger multiple landslides with extensive soil erosion and heavy sedimentation, which results in devastating losses to the farms. Small livestock farmers experience mortality in the herds, particularly among the young in goats and sheep, with cooler weather from prolonged rainfall, and small aquaculture farmers frequently experience losses, as the ponds go into disuse from siltation. The project goal is to build resilience in Saint Lucia’s the agriculture sector for livelihoods security through enhanced adaptive capacities for climate change and climate variability. The project objective is to increase the resilience of rural farm communities, increasing farm productivity, water and livelihood security and reducing vulnerability to natural hazards, climate vulnerability and change. The following three integrated components are proposed to capture the interventions of the project:   ",Agriculture,Project Under Implementation,Caribbean Development Bank,"Ministry of Agriculture, Fisheries, Physical Planning, Natural Resources and Cooperatives",4 years,7/8/2019,9/3/2021,,"USD 4,271,552","USD 9,858,570"
Senegal/Africa,Reducing vulnerability and increasing resilience of coastal communities in the Saloum Islands (Dionewar and Fadial),"Climate change and climate variability are impeding development efforts on Dionewar Island on the west coast of Senegal. Under the combined effects of climate change and human activities, over 38% of the mangrove swamp in the Saloum estuary has disappeared according to the estimates. This degradation has led to significant ecological and economic losses. One of the main consequences is the opening of a breach along the Sangomar Arrow (a sand spit), which threatens the existence of several human settlements and has contributed to the degradation of the mangroves due to increased salinity. The village of Dionewar is among those most affected. This project aims to address the threats posed by the dual effects of climate change and marine coastal erosion on the village of Dionewar. The overall objective of the project is to reduce the vulnerability of populations in Dionewar to flooding. The resilience of natural habitats and populations will be enhanced through the implementation of protective measures, revival of the main productive sectors and promotion of local adaptation strategies to cope with the adverse effects of climate change. The specific objectives are to:     ",Coastal management,Project Under Implementation,Centre de Suivi Ecologique,CONAF; ANA,3 years,7/5/2017,10/23/2018,,"USD 1,351,000","USD 1,351,000"
Senegal/Africa,Adaptation to Coastal Erosion in Vulnerable Areas,"Just a few years ago, the beach at Saly Portudal, in Senegal, was filled with tourists lounging under grass umbrellas, footballers playing pick-up games, and fishermen unloaded their catches, but today the coastal community in Senegal is one of countless coastal communities around the world that are suffering from sea-level rise and the other negative effects of accelerated climate change. After the beach was submerged, the largest tour operator in the Senegalese village departed and hotel room prices fell. As the number of tourists dwindled, so did the household incomes of Saly Portudal’s many local craftsmen. Erosion and salt-water flooding has destroyed rice fields, damaged docks and buildings, and caused silt buildups that hamper transit between rivers and the sea. The project, which encompasses the areas of Rufisque, Saly, and Joal, aims to protect people, houses, economic and cultural infrastructure in the region against coastal erosion. In Rufisque, work is being done on an update on the detailed technical feasibility studies for the design of coastal protection facilities and the achievements of those tasks; the validation of the feasibility studies; achievement of the infrastructure of protection; and the cleaning up of canals and connection with the sea. In Saly, the project is setting up protection facilities in the vulnerable areas where hotels, people and poor villages, as well as fishing docks are located. In Joal, the focus is on protecting against salination in the rice-growing areas, coastal infrastructure for processing activities, conducting Environmental Impact Assessment studies, and the monitoring of the implemented Environmental and Social Management plan. Other goals for Joal include an anti-salt barrier, strengthening of protection and development of the beach and fish smoke kilns, as well as the strengthening of environmental assessment awareness and training. Across all three project sites, the aim is to develop regulations that encompass adaptation, the revision of the environmental code, the adoption of the law on the littoral, and helping local people better understand adaptation techniques to climate change in coastal areas and about the importance of respecting regulations for the management of littoral zones.    ",Coastal management,Project Completed,Centre de Suivi Ecologique,"Directorate of Environment of Senegal, NGOs and Co",3 years,9/17/2010,1/21/2011,11/1/2014,"USD 8,619,000","USD 8,619,000"
Seychelles/Africa,Ecosystem Based Adaptation to Climate Change in Seychelles,"This project seeks to reduce the vulnerability of the Seychelles to climate change, focusing on two key issues—water scarcity and flooding. The climate change projections in the Seychelles show that rainfall, while increasing in overall terms, will become even more irregular. UNDP Seychelles: Farming for Life     ",Water management,Project Completed,UN Development Programme,MINISTRY OF ENVIRONMENT AND ENERGY,5.5 years,12/20/2012,10/30/2014,,"USD 6,455,750","USD 6,455,750"
Sierra Leone/Africa,Promoting Climate Resilience in the Cocoa and Rice Sectors as an Adaptation Strategy in Sierra Leone,"Sierra Leone is one of the most vulnerable countries to climate change in West Africa and among the Least Developed Countries (LDC), least able to adapt to the adverse effects of climate change. Agriculture is Sierra Leone’s second largest economic sector after mining contributing 59% to the GDP and is therefore facing long-term, high-risk exposure to climate change. Farmers’ high dependence on rain-fed agriculture and natural resource-based livelihoods are key influencing factors of their vulnerability. Farmers have reported experiencing changes in rainfall patterns characterized by rainfall in the dry season and dry periods in the rainy season. Climatic changes have manifested in more intense rainfall patterns with more frequent severe floods and seasonal droughts, late onset of rains, rising temperatures, particularly in the dry season, stronger winds including reports of local tornadoes, more intense thunderstorms and more frequent landslides. The overall objective of this additional climate finance for adaptation is to reduce vulnerability and increase adaptive capacity to respond to the impacts of climate change, including variability at local and national levels as well as on natural resources critical for sustaining agricultural production and increasing food security and nutrition of vulnerable poor communities. The project will deliver the stated objective through three components:   ",Multi-sector,Project Under Implementation,International Fund Agricultural Dev,Ministry of Agriculture and Forestry (MAF),6 years,7/8/2019,5/6/2020,,"USD 2,940,567","USD 9,916,925"
Solomon Islands/Asia-Pacific,Enhancing urban resilience to climate change impacts and natural disasters: Honiara,"Small Island Developing States (SIDS) in the Pacific, such as the Solomon Islands, are amongst the most vulnerable countries to the risks of future climate change. In Honiara – the capital city of the Solomon Islands – there is acute sensitivity to external shocks and stresses due to existing ‘adaptation deficits’ in urban infrastructure, housing and service provision. These deficits result from a range of development drivers; including rapid and unplanned urbanization, the associated growth of informal settlements, a lack of adequate infrastructure and basic services in many areas, issues related to land tenure in peri-urban areas, and weak institutional structures governing the urban environment. The intention of this project is therefore to work with vulnerable urban communities in Honiara to implement climate adaptation actions and to undertake capacity strengthening initiatives across multiple urban scales – community, ward and city-wide (including issues that cross the city-province boundary) – in order to strengthen the climate resilience of the city. The overarching goal of this project is to enhance the resilience of Honiara and its inhabitants to current and future climate impacts and natural disasters, with a particular focus on pro-poor adaptation actions that involve and benefit the most vulnerable communities. Community-level objectives Ward-level objectives City-wide objective   ",Urban development,Project Under Implementation,UN-Habitat,"Honiara City Council (HCC); Ministry of Lands, Hou",4 years,10/10/2017,7/28/2018,,"USD 2,202,550","USD 4,395,877"
South Africa/Africa,Taking adaptation to the ground: A small Grants Facility for enabling local-level responses to climate change,"Climate change projections have indicated that both the Mopani District, in Limpopo in the north east of South Africa, and the Namakwa District, in the Northern Cape in the north west of South Africa, will be subject to increasing temperatures and changing rainfall patterns. According to local scale analysis of historical trends and future projections, there is a distinct warming trend for both Mopani and Namakwa, which will be far more severe by 2050 if global mitigation efforts are unsuccessful. Rainfall changes are much less certain, with temporal and spatial variability. Yet in historical trends there are indications of an increase in the intensity of heavy rainfall events in both areas, evident through a decrease in the number of rain days coupled with an unchanged average annual rainfall. Warming, and the associated increase in the number of extremely warm days, is set to impact evaporation rates and water availability. This is a concern as water is already scarce in Namakwa and in parts of Mopani. Greater amplitude of dry and wet spells, along with increasing temperatures, will negatively impact already stressed communities in both areas – thus rendering them more vulnerable to the impacts of climate variability and change, more specifically droughts, seasonal shifts and storm-related disaster events. Climate-related risks are generally greater for disadvantaged, rural and poor communities because of limited adaptive capacity and greater sensitivity to climate-driven impacts. Both Mopani and Namakwa Districts are characterized by the prevalence of rural, poor communities vulnerable to the impacts of climate variability and change. This threat requires climate finance for adaptation activities to find its way to these most vulnerable communities. However, such communities typically lack the capacity required to access the necessary funding. The project thus entails the implementation of a small grant finance mechanism to address this financial, capacity and adaptation need. The Community Adaptation Small Grants Facility (SGF) will increase climate resilience in rural communities and socio-economic systems in these two pilot district municipalities in South Africa, by working directly with local stakeholders and anticipated beneficiaries through a small granting mechanism. The overall goal of the project is to ensure that vulnerable, rural communities in the project target areas have reduced vulnerability and increased resilience to the anticipated impacts of climate variability and change. The objective is to incorporate climate adaptation response strategies into local practices so that assets, livelihoods and ecosystem services are protected from climate-induced risks associated with expected droughts, seasonal shifts and storm-related disaster events. The project will do so through three main components: The Community Adaptation SGF will be led by SouthSouthNorth (SSN) Trust, who will act as the Executing Entity (EE), and Conservation South Africa (CSA), who will act as the Facilitating Agency in the Namakwa District. The Facilitating Agency for the Mopani District is still to be selected.   Component 1: Small grants – Small grants to vulnerable communities deliver tangible and sustainable benefits USD 1,542,000 Component 2: Institutional capacity – Local institutions empowered to identify and implement adaptation response measures USD 325,000 Component 3: Lesson learnt – Lessons learnt facilitate future up-scaling and replication of small grant-financing approaches USD 189,000 Project/Programme Execution Cost USD 195,320 Total Project/Programme Cost (= Project Components + Execution Cost) USD 2,251,320 Implementing Fee USD 191,362 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 2,442,682   ",Multi-sector,Project Completed,South Africa National Biodiversity Institution,South South North Trust,4 years,10/10/2014,9/16/2015,12/31/2021,"USD 2,442,682","USD 2,442,682"
South Africa/Africa,"Building Resilience in the greater uMngeni Catchment, South Africa","This project aims to reduce climate vulnerability and increase the resilience and adaptive capacity in rural and peri-urban settlements and small-scale farmers in productive landscapes in the uMgungundlovu District Municipality (UMDM), KwaZulu Natal Province, South Africa, that are threatened by climate variability and change, through an integrated adaptation approach. This is enabled through implementing a suite of complementary gender sensitive project interventions, focusing on: A number of sites have been identified by the UMDM as demonstration sites for the project. Four sites have been selected, based on the results of a vulnerability assessment, stakeholder consultations, and subsequent short-listing and ground-truthing through site visits. The sites are: The majority of the population in the province of KwaZulu-Natal lives in rural or peri-urban areas, often in informal settlements; UMDM has a population of one million people, with a high percentage of poverty, HIV/AIDS prevalence and a very high proportion of female-headed households.   Component 1: Early warning and response systems improve preparedness and adaptive capacity of local communities and small scale farmers, drawing on and integrating scientific and local knowledge USD 945,737 Component 2: A combination of ecological and engineering solutions helps local communities to reduce vulnerability to the existing and anticipated impacts of climate variability and change USD 3,197,307 Component 3: Small scale farmers have improved resilience and reduced vulnerability to existing and anticipated impacts of climate variability and change USD 1,410,476 Component 4: Capacity building and sharing of lessons and policy recommendations facilitates scaling up and replication USD 698,116 Project/Programme Execution Cost USD 656,249 Total Project/Programme Cost (= Project Components + Execution Cost) USD 6,907,885 Implementing Fee USD 587,170 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 7,495,055      ",Water management,Project Under Implementation,South Africa National Biodiversity Institution,uMgungundlovu District Municipality,5 years,10/10/2014,12/11/2015,,"USD 7,495,055","USD 7,495,055"
Sri Lanka/Asia-Pacific,Addressing Climate Change Impacts on Marginalized Agricultural Communities Living in the Mahaweli River Basin of Sri Lanka,"The project targets rain-dependent farming families in two hazard-prone areas in the Mahaweli Basin. The project is designed to address specific vulnerabilities faced by rain-dependent farmers; strategies to overcome dry season food and income security; introduction of diversified income sources to broad-base risk, improved water storage and irrigation to overcome uncertainty of rainfall, improved soil quality and fertility for increased production, and timely, quality agriculture advice and extension. The overall objective of the project is to secure community livelihoods and food security against climate change-induced rainfall variability leading to longer droughts and more intense rainfall. This project directly addresses these climate-induced impacts through two project components:1. Developing household food security and build resilient livelihoods for rain-fed farming households2. Building institutional capacity in village, local, regional service delivery to reduce risks associated with climate-induced rainfall variability Related Links    ",Rural development,Project Completed,UN World Food Programme,"Ministry of Environment,Ministry of Agrarian Services and Wildlife",3 years,12/14/2012,11/4/2013,9/30/2020,"USD 7,989,727","USD 7,989,727"
Syrian Arab Republic/Asia-Pacific,Increasing the climate change resilience of communities in Eastern Ghouta in Rural Damascus to water scarcity challenges through integrated natural resource management and immediate adaptation interventions," The Syrian Arab Republic is highly vulnerable to the effects of global warming and climate change in its various dimensions. This is manifested in various climatic phenomena, but alarming are the increasing temperatures and droughts, already in the short term, and projected reduction of precipitation, mainly in the long term. The effects of these climatic phenomena impact all social and economic sectors and represent a threat to livelihoods, agricultural productivity, water availability and community health. The crisis has exacerbated these threats, since it led to a weak and deteriorating adaptive capacity resulted from damaged infrastructure, limited institutional capacity, rapid resettlement of displaced people, returnees and high level of poverty. This project aims to reduce vulnerabilities to water availability challenges in one of the most vulnerable areas in Syria: Eastern Ghouta. To manage water and land resources efficiently, also considering future climate change risks and population trends in this area, an integrated natural resource management strategy will be developed. Complementing the strategy, the proposed project will directly build the resilience of selected communities though the implementation of concrete no-regret adaptation activities including the treatment of wastewater which is currently pollution water resources in the area and the establishment of water efficient irrigation systems.   ",Water management,Project Under Implementation,UN-Habitat,"United Nations Development Programme (UNDP),Food and Agricultural Organization (FAO),UN-Habitat",3.5 years,4/8/2021,10/24/2021,,"USD 9,997,156","USD 9,997,156"
